Food_code,Main_food_description,WWEIA_Category_number,WWEIA_Category_description,Start_date,End_date
11000000,"Milk, human",9602,Human milk,2017-01-01,2018-12-31
11100000,"Milk, NFS",1004,"Milk, reduced fat",2017-01-01,2018-12-31
11111000,"Milk, whole",1002,"Milk, whole",2017-01-01,2018-12-31
11111100,"Milk, low sodium, whole",1002,"Milk, whole",2017-01-01,2018-12-31
11111150,"Milk, calcium fortified, whole",1002,"Milk, whole",2017-01-01,2018-12-31
11111160,"Milk, calcium fortified, low fat (1%)",1006,"Milk, lowfat",2017-01-01,2018-12-31
11111170,"Milk, calcium fortified, fat free (skim)",1008,"Milk, nonfat",2017-01-01,2018-12-31
11112110,"Milk, reduced fat (2%)",1004,"Milk, reduced fat",2017-01-01,2018-12-31
11112120,"Milk, acidophilus, low fat (1%)",1006,"Milk, lowfat",2017-01-01,2018-12-31
11112130,"Milk, acidophilus, reduced fat (2%)",1004,"Milk, reduced fat",2017-01-01,2018-12-31
11112210,"Milk, low fat (1%)",1006,"Milk, lowfat",2017-01-01,2018-12-31
11113000,"Milk, fat free (skim)",1008,"Milk, nonfat",2017-01-01,2018-12-31
11114300,"Milk, lactose free, low fat (1%)",1006,"Milk, lowfat",2017-01-01,2018-12-31
11114320,"Milk, lactose free, fat free (skim)",1008,"Milk, nonfat",2017-01-01,2018-12-31
11114330,"Milk, lactose free, reduced fat (2%)",1004,"Milk, reduced fat",2017-01-01,2018-12-31
11114350,"Milk, lactose free, whole",1002,"Milk, whole",2017-01-01,2018-12-31
11115000,"Buttermilk, fat free (skim)",1008,"Milk, nonfat",2017-01-01,2018-12-31
11115100,"Buttermilk, low fat (1%)",1006,"Milk, lowfat",2017-01-01,2018-12-31
11115200,"Buttermilk, reduced fat (2%)",1004,"Milk, reduced fat",2017-01-01,2018-12-31
11115300,"Buttermilk, whole",1002,"Milk, whole",2017-01-01,2018-12-31
11115400,"Kefir, NS as to fat content",1006,"Milk, lowfat",2017-01-01,2018-12-31
11116000,"Goat's milk, whole",1002,"Milk, whole",2017-01-01,2018-12-31
11120000,"Milk, dry, reconstituted, NS as to fat content",1008,"Milk, nonfat",2017-01-01,2018-12-31
11121100,"Milk, dry, reconstituted, whole",1002,"Milk, whole",2017-01-01,2018-12-31
11121210,"Milk, dry, reconstituted, low fat (1%)",1006,"Milk, lowfat",2017-01-01,2018-12-31
11121300,"Milk, dry, reconstituted, fat free (skim)",1008,"Milk, nonfat",2017-01-01,2018-12-31
11210050,"Milk, evaporated, NS as to fat content",1002,"Milk, whole",2017-01-01,2018-12-31
11211050,"Milk, evaporated, whole",1002,"Milk, whole",2017-01-01,2018-12-31
11211400,"Milk, evaporated, reduced fat (2%)",1004,"Milk, reduced fat",2017-01-01,2018-12-31
11212050,"Milk, evaporated, fat free (skim)",1008,"Milk, nonfat",2017-01-01,2018-12-31
11220000,"Milk, condensed, sweetened",1202,"Flavored milk, whole",2017-01-01,2018-12-31
11300100,"Non-dairy milk, NFS",1404,Milk substitutes,2017-01-01,2018-12-31
11320000,Soy milk,1404,Milk substitutes,2017-01-01,2018-12-31
11320100,"Soy milk, light",1404,Milk substitutes,2017-01-01,2018-12-31
11320200,"Soy milk, nonfat",1404,Milk substitutes,2017-01-01,2018-12-31
11321000,"Soy milk, chocolate",1404,Milk substitutes,2017-01-01,2018-12-31
11321100,"Soy milk, light, chocolate",1404,Milk substitutes,2017-01-01,2018-12-31
11321200,"Soy milk, nonfat, chocolate",1404,Milk substitutes,2017-01-01,2018-12-31
11350000,"Almond milk, sweetened",1404,Milk substitutes,2017-01-01,2018-12-31
11350010,"Almond milk, sweetened, chocolate",1404,Milk substitutes,2017-01-01,2018-12-31
11350020,"Almond milk, unsweetened",1404,Milk substitutes,2017-01-01,2018-12-31
11350030,"Almond milk, unsweetened, chocolate",1404,Milk substitutes,2017-01-01,2018-12-31
11360000,Rice milk,1404,Milk substitutes,2017-01-01,2018-12-31
11370000,Coconut milk,1404,Milk substitutes,2017-01-01,2018-12-31
11400000,"Yogurt, NFS",1820,"Yogurt, regular",2017-01-01,2018-12-31
11400010,"Yogurt, Greek, NS as to type of milk or flavor",1822,"Yogurt, Greek",2017-01-01,2018-12-31
11410000,"Yogurt, NS as to type of milk or flavor",1820,"Yogurt, regular",2017-01-01,2018-12-31
11411010,"Yogurt, NS as to type of milk, plain",1820,"Yogurt, regular",2017-01-01,2018-12-31
11411100,"Yogurt, whole milk, plain",1820,"Yogurt, regular",2017-01-01,2018-12-31
11411200,"Yogurt, low fat milk, plain",1820,"Yogurt, regular",2017-01-01,2018-12-31
11411300,"Yogurt, nonfat milk, plain",1820,"Yogurt, regular",2017-01-01,2018-12-31
11411390,"Yogurt, Greek, NS as to type of milk, plain",1822,"Yogurt, Greek",2017-01-01,2018-12-31
11411400,"Yogurt, Greek, whole milk, plain",1822,"Yogurt, Greek",2017-01-01,2018-12-31
11411410,"Yogurt, Greek, low fat milk, plain",1822,"Yogurt, Greek",2017-01-01,2018-12-31
11411420,"Yogurt, Greek, nonfat milk, plain",1822,"Yogurt, Greek",2017-01-01,2018-12-31
11430000,"Yogurt, NS as to type of milk, fruit",1820,"Yogurt, regular",2017-01-01,2018-12-31
11431000,"Yogurt, whole milk, fruit",1820,"Yogurt, regular",2017-01-01,2018-12-31
11432000,"Yogurt, low fat milk, fruit",1820,"Yogurt, regular",2017-01-01,2018-12-31
11433000,"Yogurt, nonfat milk, fruit",1820,"Yogurt, regular",2017-01-01,2018-12-31
11433990,"Yogurt, Greek, NS as to type of milk, fruit",1822,"Yogurt, Greek",2017-01-01,2018-12-31
11434000,"Yogurt, Greek, whole milk, fruit",1822,"Yogurt, Greek",2017-01-01,2018-12-31
11434010,"Yogurt, Greek, low fat milk, fruit",1822,"Yogurt, Greek",2017-01-01,2018-12-31
11434020,"Yogurt, Greek, nonfat milk, fruit",1822,"Yogurt, Greek",2017-01-01,2018-12-31
11434090,"Yogurt, NS as to type of milk, flavors other than fruit",1820,"Yogurt, regular",2017-01-01,2018-12-31
11434100,"Yogurt, whole milk, flavors other than fruit",1820,"Yogurt, regular",2017-01-01,2018-12-31
11434200,"Yogurt, low fat milk, flavors other than fruit",1820,"Yogurt, regular",2017-01-01,2018-12-31
11434300,"Yogurt, nonfat milk, flavors other than fruit",1820,"Yogurt, regular",2017-01-01,2018-12-31
11435000,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",1822,"Yogurt, Greek",2017-01-01,2018-12-31
11435010,"Yogurt, Greek, whole milk, flavors other than fruit",1822,"Yogurt, Greek",2017-01-01,2018-12-31
11435020,"Yogurt, Greek, low fat milk, flavors other than fruit",1822,"Yogurt, Greek",2017-01-01,2018-12-31
11435030,"Yogurt, Greek, nonfat milk, flavors other than fruit",1822,"Yogurt, Greek",2017-01-01,2018-12-31
11435100,"Yogurt, Greek, with oats",1822,"Yogurt, Greek",2017-01-01,2018-12-31
11436000,"Yogurt, liquid",1820,"Yogurt, regular",2017-01-01,2018-12-31
11440010,"Chipotle dip, yogurt based",8412,"Dips, gravies, other sauces",2017-01-01,2018-12-31
11440020,"Dill dip, yogurt based",8412,"Dips, gravies, other sauces",2017-01-01,2018-12-31
11440030,"Onion dip, yogurt based",8412,"Dips, gravies, other sauces",2017-01-01,2018-12-31
11440040,"Ranch dip, yogurt based",8412,"Dips, gravies, other sauces",2017-01-01,2018-12-31
11440050,"Spinach dip, yogurt based",8412,"Dips, gravies, other sauces",2017-01-01,2018-12-31
11440060,Tzatziki dip,8412,"Dips, gravies, other sauces",2017-01-01,2018-12-31
11440070,"Vegetable dip, yogurt based",8412,"Dips, gravies, other sauces",2017-01-01,2018-12-31
11446000,"Yogurt parfait, low fat, with fruit",1820,"Yogurt, regular",2017-01-01,2018-12-31
11459990,"Frozen yogurt, NFS",5802,Ice cream and frozen dairy desserts,2017-01-01,2018-12-31
11460000,"Frozen yogurt, vanilla",5802,Ice cream and frozen dairy desserts,2017-01-01,2018-12-31
11460100,"Frozen yogurt, chocolate",5802,Ice cream and frozen dairy desserts,2017-01-01,2018-12-31
11460500,"Frozen yogurt, soft serve, vanilla",5802,Ice cream and frozen dairy desserts,2017-01-01,2018-12-31
11460510,"Frozen yogurt, soft serve, chocolate",5802,Ice cream and frozen dairy desserts,2017-01-01,2018-12-31
11461200,Frozen yogurt sandwich,5802,Ice cream and frozen dairy desserts,2017-01-01,2018-12-31
11461210,"Frozen yogurt bar, vanilla",5802,Ice cream and frozen dairy desserts,2017-01-01,2018-12-31
11461220,"Frozen yogurt bar, chocolate",5802,Ice cream and frozen dairy desserts,2017-01-01,2018-12-31
11461250,"Frozen yogurt cone, chocolate",5802,Ice cream and frozen dairy desserts,2017-01-01,2018-12-31
11461260,"Frozen yogurt cone, vanilla",5802,Ice cream and frozen dairy desserts,2017-01-01,2018-12-31
11461300,"Frozen yogurt cone, vanilla, waffle cone",5802,Ice cream and frozen dairy desserts,2017-01-01,2018-12-31
11461320,"Frozen yogurt cone, chocolate, waffle cone",5802,Ice cream and frozen dairy desserts,2017-01-01,2018-12-31
11480010,"Yogurt, whole milk, baby food",9010,Baby food: yogurt,2017-01-01,2018-12-31
11480020,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS",9010,Baby food: yogurt,2017-01-01,2018-12-31
11480030,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",9010,Baby food: yogurt,2017-01-01,2018-12-31
11480040,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",9010,Baby food: yogurt,2017-01-01,2018-12-31
11511000,"Chocolate milk, NFS",1208,"Flavored milk, nonfat",2017-01-01,2018-12-31
11511100,"Chocolate milk, ready to drink, whole",1202,"Flavored milk, whole",2017-01-01,2018-12-31
11511200,"Chocolate milk, ready to drink, reduced fat",1204,"Flavored milk, reduced fat",2017-01-01,2018-12-31
11511300,"Chocolate milk, ready to drink, fat free",1208,"Flavored milk, nonfat",2017-01-01,2018-12-31
11511400,"Chocolate milk, ready to drink, low fat",1206,"Flavored milk, lowfat",2017-01-01,2018-12-31
11511550,"Chocolate milk, ready to drink, reduced sugar, NS as to milk",1206,"Flavored milk, lowfat",2017-01-01,2018-12-31
11511600,"Chocolate milk, ready to drink, low fat (Nesquik)",1206,"Flavored milk, lowfat",2017-01-01,2018-12-31
11511610,"Chocolate milk, ready to drink, fat free (Nesquik)",1208,"Flavored milk, nonfat",2017-01-01,2018-12-31
11511700,"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",1206,"Flavored milk, lowfat",2017-01-01,2018-12-31
11512010,"Hot chocolate / Cocoa, ready to drink",1204,"Flavored milk, reduced fat",2017-01-01,2018-12-31
11512020,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",1208,"Flavored milk, nonfat",2017-01-01,2018-12-31
11512030,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",1404,Milk substitutes,2017-01-01,2018-12-31
11512100,"Hot chocolate / Cocoa, ready to drink, with whipped cream",1204,"Flavored milk, reduced fat",2017-01-01,2018-12-31
11512110,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream",1208,"Flavored milk, nonfat",2017-01-01,2018-12-31
11512120,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",1404,Milk substitutes,2017-01-01,2018-12-31
11513000,"Chocolate milk, made from dry mix, NS as to type of milk",1204,"Flavored milk, reduced fat",2017-01-01,2018-12-31
11513100,"Chocolate milk, made from dry mix with whole milk",1202,"Flavored milk, whole",2017-01-01,2018-12-31
11513150,"Chocolate milk, made from dry mix with reduced fat milk",1204,"Flavored milk, reduced fat",2017-01-01,2018-12-31
11513200,"Chocolate milk, made from dry mix with low fat milk",1206,"Flavored milk, lowfat",2017-01-01,2018-12-31
11513300,"Chocolate milk, made from dry mix with fat free milk",1208,"Flavored milk, nonfat",2017-01-01,2018-12-31
11513310,"Chocolate milk, made from dry mix with non-dairy milk",1404,Milk substitutes,2017-01-01,2018-12-31
11513350,"Chocolate milk, made from reduced sugar mix, NS as to type of milk",1204,"Flavored milk, reduced fat",2017-01-01,2018-12-31
11513355,"Chocolate milk, made from reduced sugar mix with whole milk",1202,"Flavored milk, whole",2017-01-01,2018-12-31
11513360,"Chocolate milk, made from reduced sugar mix with reduced fat milk",1204,"Flavored milk, reduced fat",2017-01-01,2018-12-31
11513365,"Chocolate milk, made from reduced sugar mix with low fat milk",1206,"Flavored milk, lowfat",2017-01-01,2018-12-31
11513370,"Chocolate milk, made from reduced sugar mix with fat free milk",1208,"Flavored milk, nonfat",2017-01-01,2018-12-31
11513375,"Chocolate milk, made from reduced sugar mix with non-dairy milk",1404,Milk substitutes,2017-01-01,2018-12-31
11513380,"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)",1204,"Flavored milk, reduced fat",2017-01-01,2018-12-31
11513381,"Chocolate milk, made from dry mix with whole milk (Nesquik)",1202,"Flavored milk, whole",2017-01-01,2018-12-31
11513382,"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)",1204,"Flavored milk, reduced fat",2017-01-01,2018-12-31
11513383,"Chocolate milk, made from dry mix with low fat milk (Nesquik)",1206,"Flavored milk, lowfat",2017-01-01,2018-12-31
11513384,"Chocolate milk, made from dry mix with fat free milk (Nesquik)",1208,"Flavored milk, nonfat",2017-01-01,2018-12-31
11513385,"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",1404,Milk substitutes,2017-01-01,2018-12-31
11513390,"Chocolate milk, made from no sugar added dry mix, NS as to type of milk (Nesquik)",1204,"Flavored milk, reduced fat",2017-01-01,2018-12-31
11513391,"Chocolate milk, made from no sugar added dry mix with whole milk (Nesquik)",1202,"Flavored milk, whole",2017-01-01,2018-12-31
11513392,"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",1204,"Flavored milk, reduced fat",2017-01-01,2018-12-31
11513393,"Chocolate milk, made from no sugar added dry mix with low fat milk (Nesquik)",1206,"Flavored milk, lowfat",2017-01-01,2018-12-31
11513394,"Chocolate milk, made from no sugar added dry mix with fat free milk  (Nesquik)",1208,"Flavored milk, nonfat",2017-01-01,2018-12-31
11513395,"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",1404,Milk substitutes,2017-01-01,2018-12-31
11513400,"Chocolate milk, made from syrup, NS as to type of milk",1204,"Flavored milk, reduced fat",2017-01-01,2018-12-31
11513500,"Chocolate milk, made from syrup with whole milk",1202,"Flavored milk, whole",2017-01-01,2018-12-31
11513550,"Chocolate milk, made from syrup with reduced fat milk",1204,"Flavored milk, reduced fat",2017-01-01,2018-12-31
11513600,"Chocolate milk, made from syrup with low fat milk",1206,"Flavored milk, lowfat",2017-01-01,2018-12-31
11513700,"Chocolate milk, made from syrup with fat free milk",1208,"Flavored milk, nonfat",2017-01-01,2018-12-31
11513750,"Chocolate milk, made from syrup with non-dairy milk",1404,Milk substitutes,2017-01-01,2018-12-31
11513800,"Chocolate milk, made from light syrup, NS as to type of milk",1204,"Flavored milk, reduced fat",2017-01-01,2018-12-31
11513801,"Chocolate milk, made from light syrup with whole milk",1202,"Flavored milk, whole",2017-01-01,2018-12-31
11513802,"Chocolate milk, made from light syrup with reduced fat milk",1204,"Flavored milk, reduced fat",2017-01-01,2018-12-31
11513803,"Chocolate milk, made from light syrup with low fat milk",1206,"Flavored milk, lowfat",2017-01-01,2018-12-31
11513804,"Chocolate milk, made from light syrup with fat free milk",1208,"Flavored milk, nonfat",2017-01-01,2018-12-31
11513805,"Chocolate milk, made from light syrup with non-dairy milk",1404,Milk substitutes,2017-01-01,2018-12-31
11513850,"Chocolate milk, made from sugar free syrup, NS as to type of milk",1204,"Flavored milk, reduced fat",2017-01-01,2018-12-31
11513851,"Chocolate milk, made from sugar free syrup with whole milk",1202,"Flavored milk, whole",2017-01-01,2018-12-31
11513852,"Chocolate milk, made from sugar free syrup with reduced fat milk",1204,"Flavored milk, reduced fat",2017-01-01,2018-12-31
11513853,"Chocolate milk, made from sugar free syrup with low fat milk",1206,"Flavored milk, lowfat",2017-01-01,2018-12-31
11513854,"Chocolate milk, made from sugar free syrup with fat free milk",1208,"Flavored milk, nonfat",2017-01-01,2018-12-31
11513855,"Chocolate milk, made from sugar free syrup with non-dairy milk",1404,Milk substitutes,2017-01-01,2018-12-31
11514100,"Hot chocolate / Cocoa, made with dry mix and water",1208,"Flavored milk, nonfat",2017-01-01,2018-12-31
11514110,"Hot chocolate / Cocoa, made with dry mix and whole milk",1202,"Flavored milk, whole",2017-01-01,2018-12-31
11514120,"Hot chocolate / Cocoa, made with dry mix and reduced fat milk",1204,"Flavored milk, reduced fat",2017-01-01,2018-12-31
11514130,"Hot chocolate / Cocoa, made with dry mix and low fat milk",1206,"Flavored milk, lowfat",2017-01-01,2018-12-31
11514140,"Hot chocolate / Cocoa, made with dry mix and fat free milk",1208,"Flavored milk, nonfat",2017-01-01,2018-12-31
11514150,"Hot chocolate / Cocoa, made with dry mix and non-dairy milk",1404,Milk substitutes,2017-01-01,2018-12-31
11514310,"Hot chocolate / Cocoa, made with no sugar added dry mix and water",1208,"Flavored milk, nonfat",2017-01-01,2018-12-31
11514320,"Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk",1202,"Flavored milk, whole",2017-01-01,2018-12-31
11514330,"Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk",1204,"Flavored milk, reduced fat",2017-01-01,2018-12-31
11514340,"Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk",1206,"Flavored milk, lowfat",2017-01-01,2018-12-31
11514350,"Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk",1208,"Flavored milk, nonfat",2017-01-01,2018-12-31
11514360,"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk",1404,Milk substitutes,2017-01-01,2018-12-31
11519040,"Strawberry milk, NFS",1204,"Flavored milk, reduced fat",2017-01-01,2018-12-31
11519050,"Strawberry milk, whole",1202,"Flavored milk, whole",2017-01-01,2018-12-31
11519105,"Strawberry milk, reduced fat",1204,"Flavored milk, reduced fat",2017-01-01,2018-12-31
11519200,"Strawberry milk, low fat",1206,"Flavored milk, lowfat",2017-01-01,2018-12-31
11519205,"Strawberry milk, fat free",1208,"Flavored milk, nonfat",2017-01-01,2018-12-31
11519210,"Strawberry milk, reduced sugar",1206,"Flavored milk, lowfat",2017-01-01,2018-12-31
11519215,"Strawberry milk, non-dairy",1404,Milk substitutes,2017-01-01,2018-12-31
11526000,"Milk, malted",1204,"Flavored milk, reduced fat",2017-01-01,2018-12-31
11531000,Eggnog,1402,Milk shakes and other dairy drinks,2017-01-01,2018-12-31
11541110,"Milk shake, home recipe, chocolate",1402,Milk shakes and other dairy drinks,2017-01-01,2018-12-31
11541120,"Milk shake, home recipe, flavors other than chocolate",1402,Milk shakes and other dairy drinks,2017-01-01,2018-12-31
11541130,"Milk shake, home recipe, chocolate, light",1402,Milk shakes and other dairy drinks,2017-01-01,2018-12-31
11541135,"Milk shake, home recipe, flavors other than chocolate, light",1402,Milk shakes and other dairy drinks,2017-01-01,2018-12-31
11541400,Milk shake with malt,1402,Milk shakes and other dairy drinks,2017-01-01,2018-12-31
11542100,"Milk shake, fast food, chocolate",1402,Milk shakes and other dairy drinks,2017-01-01,2018-12-31
11542200,"Milk shake, fast food, flavors other than chocolate",1402,Milk shakes and other dairy drinks,2017-01-01,2018-12-31
11543000,"Milk shake, bottled, chocolate",1402,Milk shakes and other dairy drinks,2017-01-01,2018-12-31
11543010,"Milk shake, bottled, flavors other than chocolate",1402,Milk shakes and other dairy drinks,2017-01-01,2018-12-31
11551050,Licuado or Batido,7220,Smoothies and grain drinks,2017-01-01,2018-12-31
11553100,"Fruit smoothie, NFS",7220,Smoothies and grain drinks,2017-01-01,2018-12-31
11553110,"Fruit smoothie, with whole fruit and dairy",7220,Smoothies and grain drinks,2017-01-01,2018-12-31
11553120,"Fruit smoothie, with whole fruit and dairy, added protein",7220,Smoothies and grain drinks,2017-01-01,2018-12-31
11553130,"Fruit smoothie juice drink, with dairy",7220,Smoothies and grain drinks,2017-01-01,2018-12-31
11560000,Chocolate milk drink,1402,Milk shakes and other dairy drinks,2017-01-01,2018-12-31
11710000,"Infant formula, NFS",9402,"Formula, ready-to-feed",2017-01-01,2018-12-31
11710050,"Infant formula, NS as to form (Similac Expert Care Alimentum)",9402,"Formula, ready-to-feed",2017-01-01,2018-12-31
11710051,"Infant formula, ready-to-feed (Similac Expert Care Alimentum)",9402,"Formula, ready-to-feed",2017-01-01,2018-12-31
11710053,"Infant formula, powder, made with water, NFS (Similac Expert Care Alimentum)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710054,"Infant formula, powder, made with tap water (Similac Expert Care Alimentum)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710055,"Infant formula, powder, made with plain bottled water (Similac Expert Care Alimentum)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710056,"Infant formula, powder, made with baby water (Similac Expert Care Alimentum)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710350,"Infant formula, NS as to form (Similac Advance)",9402,"Formula, ready-to-feed",2017-01-01,2018-12-31
11710351,"Infant formula, ready-to-feed (Similac Advance)",9402,"Formula, ready-to-feed",2017-01-01,2018-12-31
11710352,"Infant formula, liquid concentrate, made with water, NFS (Similac Advance)",9406,"Formula, prepared from concentrate",2017-01-01,2018-12-31
11710353,"Infant formula, powder, made with water, NFS (Similac Advance)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710354,"Infant formula, liquid concentrate, made with tap water (Similac Advance)",9406,"Formula, prepared from concentrate",2017-01-01,2018-12-31
11710355,"Infant formula, liquid concentrate, made with plain bottled water (Similac Advance)",9406,"Formula, prepared from concentrate",2017-01-01,2018-12-31
11710356,"Infant formula, liquid concentrate, made with baby water (Similac Advance)",9406,"Formula, prepared from concentrate",2017-01-01,2018-12-31
11710357,"Infant formula, powder, made with tap water (Similac Advance)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710358,"Infant formula, powder, made with plain bottled water (Similac Advance)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710359,"Infant formula, powder, made with baby water (Similac Advance)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710360,"Infant formula, NS as to form (Similac Advance Organic)",9402,"Formula, ready-to-feed",2017-01-01,2018-12-31
11710361,"Infant formula, ready-to-feed (Similac Advance Organic)",9402,"Formula, ready-to-feed",2017-01-01,2018-12-31
11710363,"Infant formula, powder, made with water, NFS (Similac Advance Organic)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710367,"Infant formula, powder, made with tap water (Similac Advance Organic)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710368,"Infant formula, powder, made with plain bottled water (Similac Advance Organic)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710369,"Infant formula, powder, made with baby water (Similac Advance Organic)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710370,"Infant formula, NS as to form (Similac Sensitive)",9402,"Formula, ready-to-feed",2017-01-01,2018-12-31
11710371,"Infant formula, ready-to-feed (Similac Sensitive)",9402,"Formula, ready-to-feed",2017-01-01,2018-12-31
11710372,"Infant formula, liquid concentrate, made with water, NFS (Similac Sensitive)",9406,"Formula, prepared from concentrate",2017-01-01,2018-12-31
11710373,"Infant formula, powder, made with water, NFS (Similac Sensitive)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710374,"Infant formula, liquid concentrate, made with tap water (Similac Sensitive)",9406,"Formula, prepared from concentrate",2017-01-01,2018-12-31
11710375,"Infant formula, liquid concentrate, made with plain bottled water (Similac Sensitive)",9406,"Formula, prepared from concentrate",2017-01-01,2018-12-31
11710376,"Infant formula, liquid concentrate, made with baby water (Similac Sensitive)",9406,"Formula, prepared from concentrate",2017-01-01,2018-12-31
11710377,"Infant formula, powder, made with tap water (Similac Sensitive)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710378,"Infant formula, powder, made with plain bottled water (Similac Sensitive)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710379,"Infant formula, powder, made with baby water (Similac Sensitive)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710380,"Infant formula, NS as to form (Similac for Spit-Up)",9402,"Formula, ready-to-feed",2017-01-01,2018-12-31
11710381,"Infant formula, ready-to-feed (Similac for Spit-Up)",9402,"Formula, ready-to-feed",2017-01-01,2018-12-31
11710383,"Infant formula, powder, made with water, NFS (Similac for Spit-Up)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710470,"Infant formula, NS as to form (Similac Expert Care NeoSure)",9402,"Formula, ready-to-feed",2017-01-01,2018-12-31
11710471,"Infant formula, ready-to-feed (Similac Expert Care NeoSure)",9402,"Formula, ready-to-feed",2017-01-01,2018-12-31
11710473,"Infant formula, powder, made with water, NFS (Similac Expert Care NeoSure)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710477,"Infant formula, powder, made with tap water (Similac Expert Care NeoSure)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710478,"Infant formula, powder, made with plain bottled water (Similac Expert Care NeoSure)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710479,"Infant formula, powder, made with baby water (Similac Expert Care NeoSure)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710480,"Infant formula, NS as to form (Similac Go and Grow)",9402,"Formula, ready-to-feed",2017-01-01,2018-12-31
11710481,"Infant formula, powder, made with water, NFS (Similac Go and Grow)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710620,"Infant formula, NS as to form (Enfamil Newborn)",9402,"Formula, ready-to-feed",2017-01-01,2018-12-31
11710621,"Infant formula, ready-to-feed (Enfamil Newborn)",9402,"Formula, ready-to-feed",2017-01-01,2018-12-31
11710626,"Infant formula, powder, made with water, NFS (Enfamil Newborn)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710627,"Infant formula, powder, made with tap water (Enfamil Newborn)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710628,"Infant formula, powder, made with plain bottled water (Enfamil Newborn)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710629,"Infant formula, powder, made with baby water (Enfamil Newborn)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710630,"Infant formula, NS as to form (Enfamil Infant)",9402,"Formula, ready-to-feed",2017-01-01,2018-12-31
11710631,"Infant formula, ready-to-feed (Enfamil Infant)",9402,"Formula, ready-to-feed",2017-01-01,2018-12-31
11710632,"Infant formula, liquid concentrate, made with water, NFS (Enfamil Infant)",9406,"Formula, prepared from concentrate",2017-01-01,2018-12-31
11710633,"Infant formula, liquid concentrate, made with tap water (Enfamil Infant)",9406,"Formula, prepared from concentrate",2017-01-01,2018-12-31
11710634,"Infant formula, liquid concentrate, made with plain bottled water (Enfamil Infant)",9406,"Formula, prepared from concentrate",2017-01-01,2018-12-31
11710635,"Infant formula, liquid concentrate, made with baby water (Enfamil Infant)",9406,"Formula, prepared from concentrate",2017-01-01,2018-12-31
11710636,"Infant formula, powder, made with water, NFS (Enfamil Infant)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710637,"Infant formula, powder, made with tap water (Enfamil Infant)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710638,"Infant formula, powder, made with plain bottled water (Enfamil Infant)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710639,"Infant formula, powder, made with baby water (Enfamil Infant)",9404,"Formula, prepared from powder",2017-01-01,2018-12-31
11710660,"Infant formula, NS as to form (Enfamil A.R.)",9402,"Formula, ready-to-feed",2017-01-01,2018-12-31
11710661,"Infant formula, ready-to-feed (Enfamil A.R.)",9402,"Formula, ready-to-feed",2017-01-01,2018-12-31
